firstrndexchange	29633	76	0	389
firstmddexchange	9320	7	1	1331
firsteddexchange	9412	11	2	855
firstmddswap	6388	327	3	19
firstrndswap	9347	522	4	17
firsteddswap	7480	276	5	27
firstrndinsert	5990	953	6	6
firstmddinsert	6232	719	7	8
firsteddinsert	5990	838	8	7
bestrndexchange	28305	135	9	209
bestmddexchange	9320	17	10	548
besteddexchange	9341	42	11	222
bestrndswap	8132	4441	12	1
bestmddswap	6369	2163	13	2
besteddswap	7399	2515	14	2
bestrndinsert	6472	4130	15	1
bestmddinsert	5988	1547	16	3
besteddinsert	5988	1247	17	4
